Year,Plastic Waste Disposed (Tonnes),Total SG Population,SG GDP Per Capita
2024,875000,6036860,93084
2023,909000,5917648,90969
2022,944000,5637022,93789
2021,924000,5453566,93118
2020,832000,5685807,81376
2019,893000,5703569,84339
2018,909000,5638676,84208
2017,763000,5612253,81781
2016,763000,5607283,78347
2015,773000,5535002,76503
2014,789000,5469724,75178
2013,741000,5399162,73276
2012,721000,5312437,71051
2011,656000,5183688,69722
2010,662000,5076732,67026
2009,629000,4987573,59573
2008,623000,4839396,61319
2007,585000,4588599,63488
2006,579000,4401365,60711
2005,589000,4265762,57465
2004,609000,4166664,54795
2003,541000,4114826,50470
2002,526000,4175950,47567
2001,490000,4138012,46191
2000,162000,4027887,47968
1999,162000,3958723,44761
1998,164800,3927213,42679
1997,162000,3796038,45143
1996,159000,3670704,43100
